city,tier,region,pages_count,lead_value_tier,dominant_industry
Houston,1,Gulf Coast,1,High,Energy & Oil/Gas
Dallas,1,North Texas,1,High,Technology & Financial Services
San Antonio,1,Central Texas,1,High,Military & Healthcare
Austin,1,Central Texas,1,High,Technology & Government
Fort Worth,1,North Texas,1,High,Aerospace & Manufacturing
El Paso,1,West Texas,1,High,Manufacturing & Trade
Lubbock,2,West Texas,1,Medium,Agriculture & Education
Amarillo,2,Panhandle,1,Medium,Agriculture & Meatpacking
Waco,2,Central Texas,1,Medium,Manufacturing & Education
Midland,2,Permian Basin,1,High,Oil & Gas
Odessa,2,Permian Basin,1,High,Oil & Gas
Tyler,2,East Texas,1,High,Healthcare & Manufacturing
Beaumont,2,Gulf Coast,1,High,Petrochemical & Refining
Abilene,2,West Texas,1,Medium,Military & Education
McAllen,2,Rio Grande Valley,1,High,Trade & Healthcare
Laredo,2,South Texas,1,High,International Trade & Logistics
Corpus Christi,2,Gulf Coast,1,High,Petrochemical & Port Operations
Killeen,2,Central Texas,1,Medium,Military (Fort Cavazos)
Brownsville,2,Rio Grande Valley,1,High,Trade & Aerospace (SpaceX)
Arlington,3,North Texas,1,Low,Entertainment & Manufacturing
Plano,3,North Texas,1,Low,Technology & Corporate HQs
Irving,3,North Texas,1,Medium,Corporate Services & Logistics
Garland,3,North Texas,1,Low,Manufacturing & Retail
Frisco,3,North Texas,1,Low,Technology & Professional Services
McKinney,3,North Texas,1,Medium,Technology & Healthcare
Grand Prairie,3,North Texas,1,Low,Manufacturing & Distribution
Denton,3,North Texas,1,Low,Education & Technology
Mesquite,3,North Texas,1,Low,Retail & Distribution
Carrollton,3,North Texas,1,Low,Manufacturing & Technology
Round Rock,3,Central Texas,1,Low,Technology (Dell HQ)
Lewisville,3,North Texas,1,Low,Distribution & Retail
Richardson,3,North Texas,1,Low,Telecom & Technology
Sugar Land,3,Gulf Coast,1,Medium,Energy & Professional Services
The Woodlands,3,Gulf Coast,1,Medium,Energy & Corporate HQs
League City,3,Gulf Coast,1,Medium,Aerospace & Maritime
Allen,3,North Texas,1,Low,Technology & Retail
Pearland,3,Gulf Coast,1,Medium,Energy & Healthcare
San Marcos,3,Central Texas,1,Low,Education & Manufacturing
New Braunfels,3,Central Texas,1,Low,Tourism & Manufacturing
Edinburg,3,Rio Grande Valley,1,Medium,Education & Healthcare
Mission,3,Rio Grande Valley,1,Medium,Agriculture & Trade
Pharr,3,Rio Grande Valley,1,Medium,International Trade & Logistics
Harlingen,3,Rio Grande Valley,1,Medium,Healthcare & Military
San Angelo,3,West Texas,1,Low,Agriculture & Military
Longview,3,East Texas,1,Medium,Oil & Gas & Manufacturing
Texarkana,3,East Texas,1,Medium,Manufacturing & Logistics
Bryan,3,Central Texas,1,Low,Education & Agriculture
College Station,3,Central Texas,1,Low,Education (Texas A&M) & Research
Temple,3,Central Texas,1,Medium,Healthcare & Manufacturing
Flower Mound,3,North Texas,1,Low,Professional Services
North Richland Hills,3,North Texas,1,Medium,Healthcare & Retail
Cedar Park,3,Central Texas,1,Low,Technology & Retail
Pflugerville,3,Central Texas,1,Low,Technology & Manufacturing
Georgetown,3,Central Texas,1,Medium,Healthcare & Retirement Services
Victoria,3,Gulf Coast,1,Medium,Petrochemical & Agriculture
Conroe,3,Gulf Coast,1,Medium,Energy & Construction
Mansfield,3,North Texas,1,Low,Manufacturing & Retail
Rowlett,3,North Texas,1,Low,Professional Services
Wylie,3,North Texas,1,Low,Retail & Professional Services
Euless,3,North Texas,1,Medium,Aviation & Logistics
DeSoto,3,North Texas,1,Medium,Distribution & Healthcare
Grapevine,3,North Texas,1,Medium,Tourism & Aviation
Galveston,3,Gulf Coast,1,Medium,Tourism & Maritime
Cedar Hill,3,North Texas,1,Low,Retail & Professional Services
Texas City,3,Gulf Coast,1,Medium,Petrochemical & Refining
Huntsville,3,East Texas,1,Low,Government & Education
Lufkin,3,Piney Woods,1,Medium,Forestry & Manufacturing
Nacogdoches,3,Piney Woods,1,Medium,Education & Forestry
Sherman,3,North Texas,1,Low,Manufacturing & Technology
Wichita Falls,3,North Texas,1,Low,Military & Manufacturing
Del Rio,3,West Texas,1,Medium,Military & Trade
Eagle Pass,3,South Texas,1,Medium,International Trade
Weslaco,3,Rio Grande Valley,1,Low,Agriculture & Retail
Hurst,3,North Texas,1,Medium,Retail & Healthcare
Burleson,3,North Texas,1,Medium,Construction & Retail
Bedford,3,North Texas,1,Medium,Healthcare & Professional Services
Cleburne,3,North Texas,1,Low,Manufacturing & Agriculture
Weatherford,3,North Texas,1,Low,Agriculture & Equine
Stephenville,3,North Texas,1,Low,Agriculture & Dairy
Mineral Wells,3,North Texas,1,Low,Manufacturing & Tourism
Greenville,3,North Texas,1,Low,Manufacturing & Defense
Paris,3,North Texas,1,Low,Manufacturing & Agriculture
Corsicana,3,North Texas,1,Medium,Oil & Gas & Manufacturing
Ennis,3,North Texas,1,Low,Manufacturing & Agriculture
Waxahachie,3,North Texas,1,Low,Manufacturing & Distribution
Terrell,3,North Texas,1,Low,Manufacturing & Agriculture
Rockwall,3,North Texas,1,Low,Professional Services & Retail
Forney,3,North Texas,1,Medium,Construction & Retail
Midlothian,3,North Texas,1,Low,Cement Manufacturing
Denison,3,North Texas,1,Medium,Manufacturing & Healthcare
Gainesville,3,North Texas,1,Low,Manufacturing & Agriculture
Bonham,3,North Texas,1,Low,Agriculture & Government
Mount Pleasant,3,East Texas,1,Low,Poultry Processing & Manufacturing
Marshall,3,East Texas,1,Low,Manufacturing & Education
Jacksonville,3,East Texas,1,Low,Manufacturing & Agriculture
Palestine,3,East Texas,1,Low,Manufacturing & Tourism
Henderson,3,East Texas,1,Medium,Oil & Gas & Agriculture
Sulphur Springs,3,East Texas,1,Low,Dairy & Agriculture
Jasper,3,Piney Woods,1,Medium,Forestry & Timber
Center,3,Piney Woods,1,Medium,Poultry Processing & Forestry
Crockett,3,East Texas,1,Medium,Agriculture & Forestry
Livingston,3,Piney Woods,1,Medium,Timber & Tourism
Bay City,3,Gulf Coast,1,Medium,Agriculture & Energy
Port Arthur,3,Gulf Coast,1,Medium,Petrochemical & Refining
Orange,3,Gulf Coast,1,Medium,Petrochemical & Shipbuilding
Port Lavaca,3,Gulf Coast,1,Medium,Petrochemical & Fishing
Freeport,3,Gulf Coast,1,Low,Chemical Manufacturing
Angleton,3,Gulf Coast,1,Medium,Agriculture & Petrochemical
Lake Jackson,3,Gulf Coast,1,Low,Chemical Manufacturing (Dow)
Pasadena,3,Gulf Coast,1,Medium,Petrochemical & Refining
Baytown,3,Gulf Coast,1,Medium,Petrochemical & Refining
Missouri City,3,Gulf Coast,1,Low,Professional Services
