keyword,city,slug,tier,region,category,dominant_industry,high_commercial_intent
Equipment Financing in Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,primary,Energy & Oil/Gas,False
Equipment Financing Houston Texas,Houston,equipment-financing-houston,1,Gulf Coast,primary,Energy & Oil/Gas,False
Small Business Equipment Financing Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,primary,Energy & Oil/Gas,False
Heavy Equipment Loans Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,vertical,Energy & Oil/Gas,False
Construction Equipment Financing Houston Texas,Houston,equipment-financing-houston,1,Gulf Coast,vertical,Energy & Oil/Gas,False
Best Equipment Financing Companies in Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,intent,Energy & Oil/Gas,False
Equipment Financing for Small Businesses in Houston Texas,Houston,equipment-financing-houston,1,Gulf Coast,intent,Energy & Oil/Gas,False
No Money Down Equipment Financing Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,intent,Energy & Oil/Gas,False
Bad Credit Equipment Financing Houston Texas,Houston,equipment-financing-houston,1,Gulf Coast,intent,Energy & Oil/Gas,False
Fast Equipment Financing Approval Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,intent,Energy & Oil/Gas,False
Equipment Leasing vs Financing Houston Texas,Houston,equipment-financing-houston,1,Gulf Coast,intent,Energy & Oil/Gas,False
Apply for Equipment Financing Houston TX,Houston,equipment-financing-houston,1,Gulf Coast,lead_gen,Energy & Oil/Gas,True
Equipment Financing in Dallas TX,Dallas,equipment-financing-dallas,1,North Texas,primary,Technology & Financial Services,False
Equipment Financing Dallas Texas,Dallas,equipment-financing-dallas,1,North Texas,primary,Technology & Financial Services,False
Small Business Equipment Financing Dallas TX,Dallas,equipment-financing-dallas,1,North Texas,primary,Technology & Financial Services,False
Manufacturing Equipment Loans Dallas Texas,Dallas,equipment-financing-dallas,1,North Texas,vertical,Technology & Financial Services,False
Best Equipment Financing Companies in Dallas TX,Dallas,equipment-financing-dallas,1,North Texas,intent,Technology & Financial Services,False
Equipment Financing for Small Businesses in Dallas Texas,Dallas,equipment-financing-dallas,1,North Texas,intent,Technology & Financial Services,False
No Money Down Equipment Financing Dallas TX,Dallas,equipment-financing-dallas,1,North Texas,intent,Technology & Financial Services,False
Bad Credit Equipment Financing Dallas Texas,Dallas,equipment-financing-dallas,1,North Texas,intent,Technology & Financial Services,False
Fast Equipment Financing Approval Dallas TX,Dallas,equipment-financing-dallas,1,North Texas,intent,Technology & Financial Services,False
Equipment Leasing vs Financing Dallas Texas,Dallas,equipment-financing-dallas,1,North Texas,intent,Technology & Financial Services,False
Apply for Equipment Financing Dallas TX,Dallas,equipment-financing-dallas,1,North Texas,lead_gen,Technology & Financial Services,True
Equipment Financing Application Dallas Texas,Dallas,equipment-financing-dallas,1,North Texas,lead_gen,Technology & Financial Services,True
Equipment Financing in San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,primary,Military & Healthcare,False
Equipment Financing San Antonio Texas,San Antonio,equipment-financing-san-antonio,1,Central Texas,primary,Military & Healthcare,False
Small Business Equipment Financing San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,primary,Military & Healthcare,False
Medical Equipment Financing San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,vertical,Military & Healthcare,False
Construction Equipment Financing San Antonio Texas,San Antonio,equipment-financing-san-antonio,1,Central Texas,vertical,Military & Healthcare,False
Best Equipment Financing Companies in San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,intent,Military & Healthcare,False
Equipment Financing for Small Businesses in San Antonio Texas,San Antonio,equipment-financing-san-antonio,1,Central Texas,intent,Military & Healthcare,False
No Money Down Equipment Financing San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,intent,Military & Healthcare,False
Bad Credit Equipment Financing San Antonio Texas,San Antonio,equipment-financing-san-antonio,1,Central Texas,intent,Military & Healthcare,False
Fast Equipment Financing Approval San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,intent,Military & Healthcare,False
Equipment Leasing vs Financing San Antonio Texas,San Antonio,equipment-financing-san-antonio,1,Central Texas,intent,Military & Healthcare,False
Apply for Equipment Financing San Antonio TX,San Antonio,equipment-financing-san-antonio,1,Central Texas,lead_gen,Military & Healthcare,True
Equipment Financing in Austin TX,Austin,equipment-financing-austin,1,Central Texas,primary,Technology & Government,False
Equipment Financing Austin Texas,Austin,equipment-financing-austin,1,Central Texas,primary,Technology & Government,False
Small Business Equipment Financing Austin TX,Austin,equipment-financing-austin,1,Central Texas,primary,Technology & Government,False
Manufacturing Equipment Loans Austin Texas,Austin,equipment-financing-austin,1,Central Texas,vertical,Technology & Government,False
Best Equipment Financing Companies in Austin TX,Austin,equipment-financing-austin,1,Central Texas,intent,Technology & Government,False
Equipment Financing for Small Businesses in Austin Texas,Austin,equipment-financing-austin,1,Central Texas,intent,Technology & Government,False
No Money Down Equipment Financing Austin TX,Austin,equipment-financing-austin,1,Central Texas,intent,Technology & Government,False
Bad Credit Equipment Financing Austin Texas,Austin,equipment-financing-austin,1,Central Texas,intent,Technology & Government,False
Fast Equipment Financing Approval Austin TX,Austin,equipment-financing-austin,1,Central Texas,intent,Technology & Government,False
Equipment Leasing vs Financing Austin Texas,Austin,equipment-financing-austin,1,Central Texas,intent,Technology & Government,False
Apply for Equipment Financing Austin TX,Austin,equipment-financing-austin,1,Central Texas,lead_gen,Technology & Government,True
Equipment Financing Application Austin Texas,Austin,equipment-financing-austin,1,Central Texas,lead_gen,Technology & Government,True
Equipment Financing in Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,primary,Aerospace & Manufacturing,False
Equipment Financing Fort Worth Texas,Fort Worth,equipment-financing-fort-worth,1,North Texas,primary,Aerospace & Manufacturing,False
Small Business Equipment Financing Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,primary,Aerospace & Manufacturing,False
Manufacturing Equipment Loans Fort Worth Texas,Fort Worth,equipment-financing-fort-worth,1,North Texas,vertical,Aerospace & Manufacturing,False
Heavy Equipment Loans Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,vertical,Aerospace & Manufacturing,False
Best Equipment Financing Companies in Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,intent,Aerospace & Manufacturing,False
Equipment Financing for Small Businesses in Fort Worth Texas,Fort Worth,equipment-financing-fort-worth,1,North Texas,intent,Aerospace & Manufacturing,False
No Money Down Equipment Financing Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,intent,Aerospace & Manufacturing,False
Bad Credit Equipment Financing Fort Worth Texas,Fort Worth,equipment-financing-fort-worth,1,North Texas,intent,Aerospace & Manufacturing,False
Fast Equipment Financing Approval Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,intent,Aerospace & Manufacturing,False
Equipment Leasing vs Financing Fort Worth Texas,Fort Worth,equipment-financing-fort-worth,1,North Texas,intent,Aerospace & Manufacturing,False
Apply for Equipment Financing Fort Worth TX,Fort Worth,equipment-financing-fort-worth,1,North Texas,lead_gen,Aerospace & Manufacturing,True
Equipment Financing in El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,primary,Manufacturing & Trade,False
Equipment Financing El Paso Texas,El Paso,equipment-financing-el-paso,1,West Texas,primary,Manufacturing & Trade,False
Small Business Equipment Financing El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,primary,Manufacturing & Trade,False
Trucking and Fleet Financing El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,vertical,Manufacturing & Trade,False
Manufacturing Equipment Loans El Paso Texas,El Paso,equipment-financing-el-paso,1,West Texas,vertical,Manufacturing & Trade,False
Best Equipment Financing Companies in El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,intent,Manufacturing & Trade,False
Equipment Financing for Small Businesses in El Paso Texas,El Paso,equipment-financing-el-paso,1,West Texas,intent,Manufacturing & Trade,False
No Money Down Equipment Financing El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,intent,Manufacturing & Trade,False
Bad Credit Equipment Financing El Paso Texas,El Paso,equipment-financing-el-paso,1,West Texas,intent,Manufacturing & Trade,False
Fast Equipment Financing Approval El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,intent,Manufacturing & Trade,False
Equipment Leasing vs Financing El Paso Texas,El Paso,equipment-financing-el-paso,1,West Texas,intent,Manufacturing & Trade,False
Apply for Equipment Financing El Paso TX,El Paso,equipment-financing-el-paso,1,West Texas,lead_gen,Manufacturing & Trade,True
Equipment Financing in Lubbock TX,Lubbock,equipment-financing-lubbock,2,West Texas,primary,Agriculture & Education,False
Equipment Financing Lubbock Texas,Lubbock,equipment-financing-lubbock,2,West Texas,primary,Agriculture & Education,False
Small Business Equipment Financing Lubbock TX,Lubbock,equipment-financing-lubbock,2,West Texas,primary,Agriculture & Education,False
Agricultural Equipment Loans Lubbock Texas,Lubbock,equipment-financing-lubbock,2,West Texas,vertical,Agriculture & Education,False
Best Equipment Financing Companies in Lubbock TX,Lubbock,equipment-financing-lubbock,2,West Texas,intent,Agriculture & Education,False
Equipment Financing for Small Businesses in Lubbock Texas,Lubbock,equipment-financing-lubbock,2,West Texas,intent,Agriculture & Education,False
No Money Down Equipment Financing Lubbock TX,Lubbock,equipment-financing-lubbock,2,West Texas,intent,Agriculture & Education,False
Bad Credit Equipment Financing Lubbock Texas,Lubbock,equipment-financing-lubbock,2,West Texas,intent,Agriculture & Education,False
Equipment Financing in Amarillo TX,Amarillo,equipment-financing-amarillo,2,Panhandle,primary,Agriculture & Meatpacking,False
Equipment Financing Amarillo Texas,Amarillo,equipment-financing-amarillo,2,Panhandle,primary,Agriculture & Meatpacking,False
Small Business Equipment Financing Amarillo TX,Amarillo,equipment-financing-amarillo,2,Panhandle,primary,Agriculture & Meatpacking,False
Agricultural Equipment Loans Amarillo Texas,Amarillo,equipment-financing-amarillo,2,Panhandle,vertical,Agriculture & Meatpacking,False
Best Equipment Financing Companies in Amarillo TX,Amarillo,equipment-financing-amarillo,2,Panhandle,intent,Agriculture & Meatpacking,False
Equipment Financing for Small Businesses in Amarillo Texas,Amarillo,equipment-financing-amarillo,2,Panhandle,intent,Agriculture & Meatpacking,False
No Money Down Equipment Financing Amarillo TX,Amarillo,equipment-financing-amarillo,2,Panhandle,intent,Agriculture & Meatpacking,False
Bad Credit Equipment Financing Amarillo Texas,Amarillo,equipment-financing-amarillo,2,Panhandle,intent,Agriculture & Meatpacking,False
Equipment Financing in Waco TX,Waco,equipment-financing-waco,2,Central Texas,primary,Manufacturing & Education,False
Equipment Financing Waco Texas,Waco,equipment-financing-waco,2,Central Texas,primary,Manufacturing & Education,False
Small Business Equipment Financing Waco TX,Waco,equipment-financing-waco,2,Central Texas,primary,Manufacturing & Education,False
Manufacturing Equipment Loans Waco Texas,Waco,equipment-financing-waco,2,Central Texas,vertical,Manufacturing & Education,False
Best Equipment Financing Companies in Waco TX,Waco,equipment-financing-waco,2,Central Texas,intent,Manufacturing & Education,False
Equipment Financing for Small Businesses in Waco Texas,Waco,equipment-financing-waco,2,Central Texas,intent,Manufacturing & Education,False
No Money Down Equipment Financing Waco TX,Waco,equipment-financing-waco,2,Central Texas,intent,Manufacturing & Education,False
Bad Credit Equipment Financing Waco Texas,Waco,equipment-financing-waco,2,Central Texas,intent,Manufacturing & Education,False
Equipment Financing in Midland TX,Midland,equipment-financing-midland,2,Permian Basin,primary,Oil & Gas,False
Equipment Financing Midland Texas,Midland,equipment-financing-midland,2,Permian Basin,primary,Oil & Gas,False
Small Business Equipment Financing Midland TX,Midland,equipment-financing-midland,2,Permian Basin,primary,Oil & Gas,False
Heavy Equipment Loans Midland TX,Midland,equipment-financing-midland,2,Permian Basin,vertical,Oil & Gas,False
Construction Equipment Financing Midland Texas,Midland,equipment-financing-midland,2,Permian Basin,vertical,Oil & Gas,False
Best Equipment Financing Companies in Midland TX,Midland,equipment-financing-midland,2,Permian Basin,intent,Oil & Gas,False
Equipment Financing for Small Businesses in Midland Texas,Midland,equipment-financing-midland,2,Permian Basin,intent,Oil & Gas,False
No Money Down Equipment Financing Midland TX,Midland,equipment-financing-midland,2,Permian Basin,intent,Oil & Gas,False
Equipment Financing in Odessa TX,Odessa,equipment-financing-odessa,2,Permian Basin,primary,Oil & Gas,False
Equipment Financing Odessa Texas,Odessa,equipment-financing-odessa,2,Permian Basin,primary,Oil & Gas,False
Small Business Equipment Financing Odessa TX,Odessa,equipment-financing-odessa,2,Permian Basin,primary,Oil & Gas,False
Heavy Equipment Loans Odessa TX,Odessa,equipment-financing-odessa,2,Permian Basin,vertical,Oil & Gas,False
Construction Equipment Financing Odessa Texas,Odessa,equipment-financing-odessa,2,Permian Basin,vertical,Oil & Gas,False
Best Equipment Financing Companies in Odessa TX,Odessa,equipment-financing-odessa,2,Permian Basin,intent,Oil & Gas,False
Equipment Financing for Small Businesses in Odessa Texas,Odessa,equipment-financing-odessa,2,Permian Basin,intent,Oil & Gas,False
No Money Down Equipment Financing Odessa TX,Odessa,equipment-financing-odessa,2,Permian Basin,intent,Oil & Gas,False
Equipment Financing in Tyler TX,Tyler,equipment-financing-tyler,2,East Texas,primary,Healthcare & Manufacturing,False
Equipment Financing Tyler Texas,Tyler,equipment-financing-tyler,2,East Texas,primary,Healthcare & Manufacturing,False
Small Business Equipment Financing Tyler TX,Tyler,equipment-financing-tyler,2,East Texas,primary,Healthcare & Manufacturing,False
Medical Equipment Financing Tyler TX,Tyler,equipment-financing-tyler,2,East Texas,vertical,Healthcare & Manufacturing,False
Manufacturing Equipment Loans Tyler Texas,Tyler,equipment-financing-tyler,2,East Texas,vertical,Healthcare & Manufacturing,False
Best Equipment Financing Companies in Tyler TX,Tyler,equipment-financing-tyler,2,East Texas,intent,Healthcare & Manufacturing,False
Equipment Financing for Small Businesses in Tyler Texas,Tyler,equipment-financing-tyler,2,East Texas,intent,Healthcare & Manufacturing,False
No Money Down Equipment Financing Tyler TX,Tyler,equipment-financing-tyler,2,East Texas,intent,Healthcare & Manufacturing,False
Equipment Financing in Beaumont TX,Beaumont,equipment-financing-beaumont,2,Gulf Coast,primary,Petrochemical & Refining,False
Equipment Financing Beaumont Texas,Beaumont,equipment-financing-beaumont,2,Gulf Coast,primary,Petrochemical & Refining,False
Small Business Equipment Financing Beaumont TX,Beaumont,equipment-financing-beaumont,2,Gulf Coast,primary,Petrochemical & Refining,False
Heavy Equipment Loans Beaumont TX,Beaumont,equipment-financing-beaumont,2,Gulf Coast,vertical,Petrochemical & Refining,False
Manufacturing Equipment Loans Beaumont Texas,Beaumont,equipment-financing-beaumont,2,Gulf Coast,vertical,Petrochemical & Refining,False
Best Equipment Financing Companies in Beaumont TX,Beaumont,equipment-financing-beaumont,2,Gulf Coast,intent,Petrochemical & Refining,False
Equipment Financing for Small Businesses in Beaumont Texas,Beaumont,equipment-financing-beaumont,2,Gulf Coast,intent,Petrochemical & Refining,False
No Money Down Equipment Financing Beaumont TX,Beaumont,equipment-financing-beaumont,2,Gulf Coast,intent,Petrochemical & Refining,False
Equipment Financing in Abilene TX,Abilene,equipment-financing-abilene,2,West Texas,primary,Military & Education,False
Equipment Financing Abilene Texas,Abilene,equipment-financing-abilene,2,West Texas,primary,Military & Education,False
Small Business Equipment Financing Abilene TX,Abilene,equipment-financing-abilene,2,West Texas,primary,Military & Education,False
Construction Equipment Financing Abilene Texas,Abilene,equipment-financing-abilene,2,West Texas,vertical,Military & Education,False
Best Equipment Financing Companies in Abilene TX,Abilene,equipment-financing-abilene,2,West Texas,intent,Military & Education,False
Equipment Financing for Small Businesses in Abilene Texas,Abilene,equipment-financing-abilene,2,West Texas,intent,Military & Education,False
No Money Down Equipment Financing Abilene TX,Abilene,equipment-financing-abilene,2,West Texas,intent,Military & Education,False
Bad Credit Equipment Financing Abilene Texas,Abilene,equipment-financing-abilene,2,West Texas,intent,Military & Education,False
Equipment Financing in McAllen TX,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,primary,Trade & Healthcare,False
Equipment Financing McAllen Texas,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,primary,Trade & Healthcare,False
Small Business Equipment Financing McAllen TX,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,primary,Trade & Healthcare,False
Medical Equipment Financing McAllen TX,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,vertical,Trade & Healthcare,False
Trucking and Fleet Financing McAllen TX,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,vertical,Trade & Healthcare,False
Best Equipment Financing Companies in McAllen TX,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,intent,Trade & Healthcare,False
Equipment Financing for Small Businesses in McAllen Texas,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,intent,Trade & Healthcare,False
No Money Down Equipment Financing McAllen TX,McAllen,equipment-financing-mcallen,2,Rio Grande Valley,intent,Trade & Healthcare,False
Equipment Financing in Laredo TX,Laredo,equipment-financing-laredo,2,South Texas,primary,International Trade & Logistics,False
Equipment Financing Laredo Texas,Laredo,equipment-financing-laredo,2,South Texas,primary,International Trade & Logistics,False
Small Business Equipment Financing Laredo TX,Laredo,equipment-financing-laredo,2,South Texas,primary,International Trade & Logistics,False
Trucking and Fleet Financing Laredo TX,Laredo,equipment-financing-laredo,2,South Texas,vertical,International Trade & Logistics,False
Best Equipment Financing Companies in Laredo TX,Laredo,equipment-financing-laredo,2,South Texas,intent,International Trade & Logistics,False
Equipment Financing for Small Businesses in Laredo Texas,Laredo,equipment-financing-laredo,2,South Texas,intent,International Trade & Logistics,False
No Money Down Equipment Financing Laredo TX,Laredo,equipment-financing-laredo,2,South Texas,intent,International Trade & Logistics,False
Bad Credit Equipment Financing Laredo Texas,Laredo,equipment-financing-laredo,2,South Texas,intent,International Trade & Logistics,False
Equipment Financing in Corpus Christi TX,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,primary,Petrochemical & Port Operations,False
Equipment Financing Corpus Christi Texas,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,primary,Petrochemical & Port Operations,False
Small Business Equipment Financing Corpus Christi TX,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,primary,Petrochemical & Port Operations,False
Heavy Equipment Loans Corpus Christi TX,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,vertical,Petrochemical & Port Operations,False
Manufacturing Equipment Loans Corpus Christi Texas,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,vertical,Petrochemical & Port Operations,False
Trucking and Fleet Financing Corpus Christi TX,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,vertical,Petrochemical & Port Operations,False
Best Equipment Financing Companies in Corpus Christi TX,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,intent,Petrochemical & Port Operations,False
Equipment Financing for Small Businesses in Corpus Christi Texas,Corpus Christi,equipment-financing-corpus-christi,2,Gulf Coast,intent,Petrochemical & Port Operations,False
Equipment Financing in Killeen TX,Killeen,equipment-financing-killeen,2,Central Texas,primary,Military (Fort Cavazos),False
Equipment Financing Killeen Texas,Killeen,equipment-financing-killeen,2,Central Texas,primary,Military (Fort Cavazos),False
Small Business Equipment Financing Killeen TX,Killeen,equipment-financing-killeen,2,Central Texas,primary,Military (Fort Cavazos),False
Construction Equipment Financing Killeen Texas,Killeen,equipment-financing-killeen,2,Central Texas,vertical,Military (Fort Cavazos),False
Best Equipment Financing Companies in Killeen TX,Killeen,equipment-financing-killeen,2,Central Texas,intent,Military (Fort Cavazos),False
Equipment Financing for Small Businesses in Killeen Texas,Killeen,equipment-financing-killeen,2,Central Texas,intent,Military (Fort Cavazos),False
No Money Down Equipment Financing Killeen TX,Killeen,equipment-financing-killeen,2,Central Texas,intent,Military (Fort Cavazos),False
Bad Credit Equipment Financing Killeen Texas,Killeen,equipment-financing-killeen,2,Central Texas,intent,Military (Fort Cavazos),False
Equipment Financing in Brownsville TX,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,primary,Trade & Aerospace (SpaceX),False
